Accepted sales revenue: 14356986
Profit with rejection compensation: 14138978
Accepted orders: 795 / 800
Moving time used: 71010 / 1000000

Assignments
Order ID,Car ID,Requested level,Car level,Upgrade,Pickup station,Return station,Pickup time,Return time,Revenue
1,19,4,5,yes,5,22,2023/02/04 16:00,2023/02/06 09:00,23534
2,30,9,9,no,44,68,2023/01/06 08:30,2023/01/06 19:30,12276
3,35,5,6,yes,59,83,2023/01/13 08:00,2023/01/15 01:00,28331
4,35,5,6,yes,25,86,2023/02/06 20:30,2023/02/08 12:30,27640
5,76,1,1,no,39,11,2023/01/25 05:30,2023/01/26 11:30,7200
6,48,10,10,no,41,81,2023/02/08 05:00,2023/02/08 19:00,17052
7,9,6,7,yes,100,24,2023/01/15 13:00,2023/01/16 17:00,22400
8,72,5,5,no,95,77,2023/01/03 15:30,2023/01/05 11:30,30404
9,61,3,3,no,95,4,2023/01/12 22:30,2023/01/13 21:30,10120
10,48,10,10,no,96,25,2023/01/06 08:30,2023/01/08 00:30,48720
11,23,7,8,yes,7,23,2023/01/22 16:30,2023/01/24 13:30,39735
12,28,4,5,yes,67,91,2023/01/04 06:30,2023/01/05 19:30,21238
13,14,3,3,no,15,32,2023/01/04 06:30,2023/01/05 01:30,8360
14,11,2,2,no,69,10,2023/01/20 10:30,2023/01/20 20:30,3900
15,34,10,10,no,18,9,2023/01/05 16:30,2023/01/07 02:30,41412
16,11,2,2,no,16,43,2023/01/29 09:00,2023/01/30 12:00,10530
17,50,6,7,yes,45,21,2023/01/23 01:00,2023/01/24 21:00,35200
18,64,8,9,yes,89,22,2023/02/01 02:30,2023/02/01 22:30,19400
19,7,8,9,yes,46,69,2023/01/28 21:30,2023/01/29 16:30,18430
20,23,8,8,no,13,39,2023/01/05 02:00,2023/01/06 02:00,23280
21,79,4,4,no,96,37,2023/01/06 14:30,2023/01/08 06:30,22960
22,19,5,5,no,20,34,2023/02/07 09:30,2023/02/09 08:30,32477
23,4,5,5,no,56,64,2023/02/07 11:00,2023/02/07 18:00,4837
24,41,9,9,no,12,46,2023/01/15 12:00,2023/01/16 06:00,20088
25,4,5,5,no,52,60,2023/01/09 19:00,2023/01/10 23:00,19348
26,29,8,9,yes,77,91,2023/02/02 03:00,2023/02/04 02:00,45590
27,40,9,9,no,20,19,2023/01/21 04:30,2023/01/21 14:30,11160
28,11,1,2,yes,18,32,2023/01/24 07:00,2023/01/24 14:00,1680
29,48,10,10,no,31,10,2023/01/20 23:00,2023/01/22 01:00,31668
30,11,1,2,yes,88,3,2023/02/03 06:00,2023/02/03 08:00,480
31,32,10,10,no,40,91,2023/01/31 11:30,2023/02/02 01:30,46284
32,23,8,8,no,56,1,2023/01/07 00:30,2023/01/07 13:30,12610
33,62,6,6,no,71,80,2023/02/01 03:00,2023/02/01 11:00,6400
34,54,3,3,no,97,12,2023/01/17 07:00,2023/01/17 22:00,6600
35,42,6,7,yes,38,90,2023/01/24 21:30,2023/01/25 22:30,20000
36,79,4,4,no,78,40,2023/02/08 19:30,2023/02/10 13:30,24108
37,1,8,9,yes,84,99,2023/01/28 21:30,2023/01/29 16:30,18430
38,24,6,7,yes,25,4,2023/02/07 15:30,2023/02/08 20:30,23200
39,54,3,3,no,15,78,2023/01/15 09:00,2023/01/15 12:00,1320
40,64,9,9,no,15,38,2023/01/08 08:00,2023/01/09 23:00,43524
41,79,4,4,no,75,20,2023/01/12 14:00,2023/01/12 19:00,2870
42,56,2,2,no,63,50,2023/01/31 14:30,2023/01/31 23:30,3510
43,46,4,4,no,44,92,2023/01/23 05:30,2023/01/24 23:30,24108
44,27,5,5,no,97,27,2023/01/10 14:30,2023/01/11 16:30,17966
45,7,9,9,no,26,97,2023/02/03 23:00,2023/02/04 09:00,11160
46,6,10,10,no,61,100,2023/01/20 17:00,2023/01/22 00:00,37758
47,31,6,7,yes,61,43,2023/01/21 16:30,2023/01/22 15:30,18400
48,25,1,2,yes,92,49,2023/01/03 17:00,2023/01/04 11:00,4320
49,6,10,10,no,70,92,2023/01/25 01:00,2023/01/26 14:00,45066
50,2,8,8,no,45,24,2023/02/02 17:00,2023/02/04 05:00,34920
51,62,6,6,no,31,81,2023/02/03 11:30,2023/02/04 19:30,25600
52,56,1,2,yes,20,71,2023/02/02 23:00,2023/02/04 23:00,11520
53,78,1,1,no,65,54,2023/01/25 03:30,2023/01/26 08:30,6960
54,63,9,9,no,21,37,2023/01/28 16:00,2023/01/29 01:00,10044
55,21,7,8,yes,60,59,2023/01/15 23:00,2023/01/17 17:00,37086
56,42,6,7,yes,70,24,2023/02/05 03:30,2023/02/06 10:30,24800
57,18,8,8,no,13,3,2023/01/23 03:30,2023/01/24 12:30,32010
58,15,10,10,no,39,19,2023/01/05 06:00,2023/01/07 06:00,58464
59,3,4,5,yes,66,5,2023/01/20 14:00,2023/01/20 16:00,1148
