scenario,instance,algorithm,ip_profit,algorithm_profit,profit_gap,optimal_gap_pct,moving_time,execution_time,ip_execution_time
S1,S1_inst_01.txt,algo_naive,2076945.0,2076945.0,0.0,0.0,7470,0.025111,9.066
S1,S1_inst_01.txt,algo1,2076945.0,2076945.0,0.0,0.0,7020,0.023915,9.066
S1,S1_inst_01.txt,algo2,2076945.0,2076945.0,0.0,0.0,8910,0.543543,9.066
S1,S1_inst_01.txt,algo3,2076945.0,2076945.0,0.0,0.0,7020,10.024514,9.066
S1,S1_inst_01.txt,algo4,2076945.0,2076945.0,0.0,0.0,7020,0.036576,9.066
S1,S1_inst_01.txt,algo5,2076945.0,2076945.0,0.0,0.0,8550,0.127837,9.066
S1,S1_inst_01.txt,algo_union,2076945.0,2076945.0,0.0,0.0,7020,0.209407,9.066
S1,S1_inst_01.txt,algo_union_170,2076945.0,2076945.0,0.0,0.0,7020,0.188512,9.066
S1,S1_inst_02.txt,algo_naive,1968696.0,1968696.0,0.0,0.0,8370,0.029148,7.705
S1,S1_inst_02.txt,algo1,1968696.0,1968696.0,0.0,0.0,8100,0.023559,7.705
S1,S1_inst_02.txt,algo2,1968696.0,1968696.0,0.0,0.0,9000,0.448990,7.705
S1,S1_inst_02.txt,algo3,1968696.0,1968696.0,0.0,0.0,8100,10.015088,7.705
S1,S1_inst_02.txt,algo4,1968696.0,1968696.0,0.0,0.0,8100,0.057468,7.705
S1,S1_inst_02.txt,algo5,1968696.0,1968696.0,0.0,0.0,8820,0.094588,7.705
S1,S1_inst_02.txt,algo_union,1968696.0,1968696.0,0.0,0.0,8100,0.247672,7.705
S1,S1_inst_02.txt,algo_union_170,1968696.0,1968696.0,0.0,0.0,8100,0.208289,7.705
S1,S1_inst_03.txt,algo_naive,1861859.0,1861859.0,0.0,0.0,7110,0.024934,7.620
S1,S1_inst_03.txt,algo1,1861859.0,1861859.0,0.0,0.0,6750,0.023490,7.620
S1,S1_inst_03.txt,algo2,1861859.0,1861859.0,0.0,0.0,8640,0.576827,7.620
S1,S1_inst_03.txt,algo3,1861859.0,1861859.0,0.0,0.0,6750,10.017919,7.620
S1,S1_inst_03.txt,algo4,1861859.0,1861859.0,0.0,0.0,6750,0.050886,7.620
S1,S1_inst_03.txt,algo5,1861859.0,1861859.0,0.0,0.0,8100,0.061663,7.620
S1,S1_inst_03.txt,algo_union,1861859.0,1861859.0,0.0,0.0,6750,0.181557,7.620
S1,S1_inst_03.txt,algo_union_170,1861859.0,1861859.0,0.0,0.0,6750,0.147856,7.620
S1,S1_inst_04.txt,algo_naive,2325960.0,2325960.0,0.0,0.0,7290,0.024023,7.087
S1,S1_inst_04.txt,algo1,2325960.0,2325960.0,0.0,0.0,7200,0.023397,7.087
S1,S1_inst_04.txt,algo2,2325960.0,2325960.0,0.0,0.0,8910,0.614135,7.087
S1,S1_inst_04.txt,algo3,2325960.0,2325960.0,0.0,0.0,7200,10.029183,7.087
S1,S1_inst_04.txt,algo4,2325960.0,2325960.0,0.0,0.0,7200,9.966441,7.087
S1,S1_inst_04.txt,algo5,2325960.0,2325960.0,0.0,0.0,8280,0.145629,7.087
S1,S1_inst_04.txt,algo_union,2325960.0,2325960.0,0.0,0.0,7200,9.972952,7.087
S1,S1_inst_04.txt,algo_union_170,2325960.0,2325960.0,0.0,0.0,7200,18.714852,7.087
S1,S1_inst_05.txt,algo_naive,1994277.0,1994277.0,0.0,0.0,7650,0.025113,8.043
S1,S1_inst_05.txt,algo1,1994277.0,1994277.0,0.0,0.0,6750,0.021614,8.043
S1,S1_inst_05.txt,algo2,1994277.0,1994277.0,0.0,0.0,8820,0.487367,8.043
S1,S1_inst_05.txt,algo3,1994277.0,1994277.0,0.0,0.0,6750,10.017290,8.043
S1,S1_inst_05.txt,algo4,1994277.0,1994277.0,0.0,0.0,6750,0.046355,8.043
S1,S1_inst_05.txt,algo5,1994277.0,1994277.0,0.0,0.0,8730,0.101429,8.043
S1,S1_inst_05.txt,algo_union,1994277.0,1994277.0,0.0,0.0,6750,0.193603,8.043
S1,S1_inst_05.txt,algo_union_170,1994277.0,1994277.0,0.0,0.0,6750,0.215417,8.043
S1,S1_inst_06.txt,algo_naive,2177625.0,2177625.0,0.0,0.0,8100,0.025228,7.266
S1,S1_inst_06.txt,algo1,2177625.0,2177625.0,0.0,0.0,7830,0.026148,7.266
S1,S1_inst_06.txt,algo2,2177625.0,2177625.0,0.0,0.0,8730,0.532573,7.266
S1,S1_inst_06.txt,algo3,2177625.0,2177625.0,0.0,0.0,7830,10.023799,7.266
S1,S1_inst_06.txt,algo4,2177625.0,2177625.0,0.0,0.0,7830,0.040225,7.266
S1,S1_inst_06.txt,algo5,2177625.0,2177625.0,0.0,0.0,8820,0.082413,7.266
S1,S1_inst_06.txt,algo_union,2177625.0,2177625.0,0.0,0.0,7830,0.170717,7.266
S1,S1_inst_06.txt,algo_union_170,2177625.0,2177625.0,0.0,0.0,7830,0.185774,7.266
S1,S1_inst_07.txt,algo_naive,1677512.0,1677512.0,0.0,0.0,7560,0.027194,6.173
S1,S1_inst_07.txt,algo1,1677512.0,1677512.0,0.0,0.0,7380,0.022939,6.173
S1,S1_inst_07.txt,algo2,1677512.0,1677512.0,0.0,0.0,9000,0.609466,6.173
S1,S1_inst_07.txt,algo3,1677512.0,1677512.0,0.0,0.0,7380,10.019135,6.173
S1,S1_inst_07.txt,algo4,1677512.0,1677512.0,0.0,0.0,7380,0.037132,6.173
S1,S1_inst_07.txt,algo5,1677512.0,1677512.0,0.0,0.0,8370,0.078562,6.173
S1,S1_inst_07.txt,algo_union,1677512.0,1677512.0,0.0,0.0,7380,0.148404,6.173
