scenario,algo_naive,algo1,algo2,algo3,algo4,algo5,algo_union,algo_union_170
S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4,0.00189374,0.00182036,0.00112386,0.00182036,0.00020377,0.00072195,0.00033979,0.00011344
S5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6,0.03430506,0.0,0.00154102,0.0,0.0,0.0,0.0,0.0
S7,0.02619121,0.00179899,0.00703749,0.00179899,0.00012963,0.00490619,0.0,0.0
S8,0.05066045,0.00467242,0.01353185,0.00467242,0.00050435,0.01085398,0.00050435,0.00050435
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S10,0.07786105,0.0131356,0.02238693,0.01312489,0.00634207,0.00826102,0.0045481,0.00448528
S11,0.00178689,0.0,0.00019481,0.0,0.0,0.0,0.0,0.0
S12,0.04643627,0.04163093,0.00148187,0.04163093,0.01090234,0.0152692,0.0104209,0.0104209
S13,0.38606718,0.04796422,0.11153525,0.04604957,0.00837419,0.20991968,0.00837419,0.00708469
S14,0.04198683,0.00474952,0.01376832,0.00474952,0.00101759,0.0097607,0.00067711,0.00062227
