scenario,instances,base_gap_mean_pct,base_gap_std_pct,union_optimal_gap_mean_pct,union_optimal_gap_std_pct,union_improve_gap_mean_pct,union_improve_gap_std_pct
S1,30,0.0,0.0,0.0,0.0,0.0,0.0
S2,30,0.909661,2.017675,0.259708,0.645307,0.685685,1.515948
S3,30,0.0,0.0,0.0,0.0,0.0,0.0
S4,30,0.189374,0.574017,0.033979,0.186113,0.158019,0.427261
S5,30,0.0,0.0,0.0,0.0,0.0,0.0
S6,30,3.430506,10.145591,0.0,0.0,5.156796,15.870269
S7,30,2.619121,7.093632,0.0,0.0,3.333453,9.152979
S8,30,5.066045,11.304936,0.050435,0.155039,7.320516,17.992443
S9,30,0.0,0.0,0.0,0.0,0.0,0.0
S10,30,7.786105,3.595793,0.480253,0.520231,8.081417,4.260416
S11,30,0.178689,0.744083,0.0,0.0,0.184568,0.771419
S12,30,4.643627,6.011621,1.04209,2.864948,4.155167,7.04027
S13,30,38.606718,7.523481,0.837419,1.359771,63.856634,20.31837
S14,30,4.198683,10.812073,0.067711,0.283941,6.207299,17.605549
