scenario,instances,ip_avg_profit,ip_avg_execution_time,algo_naive_avg_profit,algo_naive_avg_profit_gap,algo_naive_avg_optimal_gap_pct,algo_naive_avg_moving_time,algo_naive_avg_execution_time,algo_naive_wins,algo1_avg_profit,algo1_avg_profit_gap,algo1_avg_optimal_gap_pct,algo1_avg_moving_time,algo1_avg_execution_time,algo1_wins,algo2_avg_profit,algo2_avg_profit_gap,algo2_avg_optimal_gap_pct,algo2_avg_moving_time,algo2_avg_execution_time,algo2_wins,algo3_avg_profit,algo3_avg_profit_gap,algo3_avg_optimal_gap_pct,algo3_avg_moving_time,algo3_avg_execution_time,algo3_wins,algo4_avg_profit,algo4_avg_profit_gap,algo4_avg_optimal_gap_pct,algo4_avg_moving_time,algo4_avg_execution_time,algo4_wins,algo5_avg_profit,algo5_avg_profit_gap,algo5_avg_optimal_gap_pct,algo5_avg_moving_time,algo5_avg_execution_time,algo5_wins,algo_union_avg_profit,algo_union_avg_profit_gap,algo_union_avg_optimal_gap_pct,algo_union_avg_moving_time,algo_union_avg_execution_time,algo_union_wins,algo_union_170_avg_profit,algo_union_170_avg_profit_gap,algo_union_170_avg_optimal_gap_pct,algo_union_170_avg_moving_time,algo_union_170_avg_execution_time,algo_union_170_wins,ties
S1,30,1965598.1,7.2074,1965598.1,0.0,0.0,7623.0,0.026066,0,1965598.1,0.0,0.0,7335.0,0.023582,0,1965598.1,0.0,0.0,8865.0,0.547326,0,1965598.1,0.0,0.0,7335.0,10.018604,0,1965598.1,0.0,0.0,7335.0,3.020922,0,1965598.1,0.0,0.0,8418.0,0.128598,0,1965598.1,0.0,0.0,7335.0,3.164275,0,1965598.1,0.0,0.0,7335.0,6.139476,0,30
S2,30,165876.7,0.040133,165876.7,0.0,0.0,735.0,0.012988,0,165876.7,0.0,0.0,876.0,0.09188,0,165876.7,0.0,0.0,885.0,0.059145,0,165876.7,0.0,0.0,735.0,10.006464,0,165876.7,0.0,0.0,735.0,0.416811,0,165876.7,0.0,0.0,819.0,0.138749,0,165876.7,0.0,0.0,735.0,0.580518,0,165876.7,0.0,0.0,735.0,0.530087,0,30
S3,30,567509.266667,0.335867,567509.266667,0.0,0.0,2490.0,0.01585,0,567509.266667,0.0,0.0,2934.0,0.358818,0,567509.266667,0.0,0.0,2925.0,0.148594,0,567509.266667,0.0,0.0,2469.0,10.015972,0,567509.266667,0.0,0.0,2469.0,1.689301,0,567509.266667,0.0,0.0,2760.0,0.102921,0,567509.266667,0.0,0.0,2469.0,1.720432,0,567509.266667,0.0,0.0,2469.0,1.640468,0,30
S4,30,4530698.466667,60.7762,4506997.566667,23700.9,0.189374,18840.0,0.048124,0,4508529.366667,22169.1,0.182036,18204.0,0.046748,0,4516993.766667,13704.7,0.112386,21171.0,1.954517,0,4508529.366667,22169.1,0.182036,18204.0,10.020287,0,4528321.066667,2377.4,0.020377,18255.0,4.68304,0,4522196.366667,8502.1,0.072195,20580.0,0.360283,0,4526734.066667,3964.4,0.033979,18354.0,4.904165,0,4529374.966667,1323.5,0.011344,18369.0,79.615629,1,29
S5,30,1699880.233333,7.616033,1699880.233333,0.0,0.0,7590.0,0.027724,0,1699880.233333,0.0,0.0,7437.0,0.026954,0,1699880.233333,0.0,0.0,8880.0,0.505011,0,1699880.233333,0.0,0.0,7437.0,10.017714,0,1699880.233333,0.0,0.0,7437.0,2.025233,0,1699880.233333,0.0,0.0,8622.0,0.122535,0,1699880.233333,0.0,0.0,7437.0,2.187977,0,1699880.233333,0.0,0.0,7437.0,30.482988,0,30
S6,30,1844593.133333,7.488633,1687892.733333,156700.4,3.430506,8622.0,0.027175,0,1844593.133333,0.0,0.0,8622.0,0.028416,0,1838072.333333,6520.8,0.154102,8616.0,0.771665,0,1844593.133333,0.0,0.0,8622.0,10.016767,0,1844593.133333,0.0,0.0,8622.0,2.026092,0,1844593.133333,0.0,0.0,8622.0,0.209946,0,1844593.133333,0.0,0.0,8622.0,2.215771,0,1844593.133333,0.0,0.0,8622.0,25.480788,0,30
S7,30,1811496.1,7.172633,1683444.6,128051.5,2.619121,7269.0,0.024844,0,1802797.8,8698.3,0.179899,7242.0,0.028269,0,1776526.9,34969.2,0.703749,8409.0,0.725586,0,1802797.8,8698.3,0.179899,7242.0,10.017229,0,1810886.7,609.4,0.012963,7242.0,3.016147,0,1786305.1,25191.0,0.490619,7863.0,0.220273,0,1811496.1,0.0,0.0,7242.0,3.160677,0,1811496.1,0.0,0.0,7242.0,26.58622,0,30
S8,30,1762842.533333,7.3032,1529459.733333,233382.8,5.066045,7065.0,0.025684,0,1741667.533333,21175.0,0.467242,6948.0,0.030926,0,1696378.533333,66464.0,1.353185,8052.0,0.843428,0,1741667.533333,21175.0,0.467242,6948.0,10.018855,0,1760688.133333,2154.4,0.050435,6948.0,2.689493,0,1713198.133333,49644.4,1.085398,7647.0,0.258283,0,1760688.133333,2154.4,0.050435,6948.0,2.892688,0,1760688.133333,2154.4,0.050435,6948.0,35.756572,0,30
S9,30,1883168.733333,7.198333,1883168.733333,0.0,0.0,7641.0,0.025861,0,1883168.733333,0.0,0.0,7362.0,0.027258,0,1883168.733333,0.0,0.0,8892.0,0.556928,0,1883168.733333,0.0,0.0,7362.0,10.019205,0,1883168.733333,0.0,0.0,7362.0,0.705056,0,1883168.733333,0.0,0.0,8538.0,0.121464,0,1883168.733333,0.0,0.0,7362.0,0.881566,0,1883168.733333,0.0,0.0,7362.0,1.346423,0,30
S10,30,1703064.5,0.487967,1279091.1,423973.4,7.786105,7278.0,0.02612,0,1632311.0,70753.5,1.31356,7263.0,0.023347,0,1580476.3,122588.2,2.238693,7863.0,1.132282,1,1632359.2,70705.3,1.312489,7254.0,10.016327,0,1668642.7,34421.8,0.634207,7296.0,9.966565,2,1659078.2,43986.3,0.826102,7644.0,0.251318,0,1678607.9,24456.6,0.45481,7524.0,10.253087,0,1678903.4,24161.1,0.448528,7524.0,103.75387,1,26
S11,30,1892166.633333,5.319233,1882111.933333,10054.7,0.178689,7650.0,0.025254,0,1892166.633333,0.0,0.0,7533.0,0.048088,0,1891055.633333,1111.0,0.019481,8880.0,0.813017,0,1892166.633333,0.0,0.0,7533.0,10.019115,0,1892166.633333,0.0,0.0,7533.0,1.036079,0,1892166.633333,0.0,0.0,8310.0,0.138047,0,1892166.633333,0.0,0.0,7533.0,1.168079,0,1892166.633333,0.0,0.0,7533.0,2.369047,0,30
S12,30,-2895724.266667,7.051833,-2939992.166667,44267.9,4.643627,0.0,0.012089,0,-2938241.666667,42517.4,4.163093,0.0,0.016888,0,-2897826.766667,2102.5,0.148187,0.0,1.964504,5,-2938241.666667,42517.4,4.163093,0.0,10.010686,0,-2905833.166667,10108.9,1.090234,0.0,9.973252,0,-2912138.566667,16414.3,1.52692,0.0,0.745575,0,-2905463.566667,9739.3,1.04209,0.0,10.228837,0,-2905463.566667,9739.3,1.04209,0.0,170.303824,0,25
