Accepted sales revenue: 5260100
Profit with rejection compensation: 5260100
Accepted orders: 300 / 300
Moving time used: 26910 / 1000000

Assignments
Order ID,Car ID,Requested level,Car level,Upgrade,Pickup station,Return station,Pickup time,Return time,Revenue
1,36,9,9,no,84,37,2023/02/01 00:30,2023/02/01 18:30,19800
2,45,7,8,yes,70,56,2023/01/20 04:30,2023/01/21 22:30,37800
3,94,1,1,no,75,2,2023/01/25 16:00,2023/01/26 12:00,6000
4,76,3,4,yes,87,21,2023/01/17 15:30,2023/01/18 16:30,12500
5,50,2,2,no,26,78,2023/02/02 12:00,2023/02/02 15:00,1200
6,84,1,2,yes,43,62,2023/01/19 05:00,2023/01/20 11:00,9000
7,4,10,10,no,57,13,2023/01/02 02:00,2023/01/03 23:00,54000
8,100,1,1,no,70,43,2023/01/17 23:30,2023/01/19 20:30,13500
9,72,4,5,yes,90,47,2023/01/03 09:00,2023/01/03 12:00,1800
10,2,10,10,no,96,84,2023/01/04 15:30,2023/01/05 15:30,28800
11,3,1,2,yes,4,32,2023/01/03 21:00,2023/01/04 05:00,2400
12,61,4,4,no,79,42,2023/01/26 01:00,2023/01/26 07:00,3600
13,68,5,5,no,56,25,2023/01/17 14:00,2023/01/17 20:00,4200
14,61,3,4,yes,81,45,2023/01/22 08:00,2023/01/24 07:00,23500
15,73,6,6,no,4,52,2023/01/18 12:30,2023/01/19 14:30,20800
16,7,9,9,no,70,39,2023/01/14 14:30,2023/01/16 06:30,44000
17,78,2,3,yes,20,58,2023/01/11 08:30,2023/01/12 17:30,13200
18,5,6,7,yes,61,92,2023/01/26 06:00,2023/01/26 15:00,7200
19,11,1,2,yes,37,81,2023/01/08 07:00,2023/01/09 12:00,8700
20,11,1,2,yes,90,48,2023/01/17 18:00,2023/01/19 15:00,13500
21,43,3,4,yes,70,99,2023/01/09 05:30,2023/01/10 15:30,17000
22,8,3,3,no,82,93,2023/01/24 23:30,2023/01/26 02:30,13500
23,17,3,4,yes,85,96,2023/01/17 08:00,2023/01/17 19:00,5500
24,77,6,6,no,24,71,2023/01/02 14:30,2023/01/04 03:30,29600
25,58,8,9,yes,72,31,2023/01/07 03:00,2023/01/08 01:00,22000
26,20,1,2,yes,28,7,2023/01/12 00:00,2023/01/12 17:00,5100
27,37,2,3,yes,31,71,2023/01/29 01:00,2023/01/29 04:00,1200
28,69,4,4,no,17,7,2023/01/23 10:00,2023/01/23 22:00,7200
29,81,10,10,no,100,30,2023/01/08 17:00,2023/01/09 00:00,8400
30,30,2,2,no,55,77,2023/01/09 19:00,2023/01/10 02:00,2800
31,82,8,8,no,47,50,2023/01/09 16:00,2023/01/09 22:00,6000
32,40,8,8,no,87,60,2023/01/12 01:30,2023/01/12 05:30,4000
33,2,10,10,no,1,19,2023/01/19 05:00,2023/01/20 01:00,24000
34,84,1,2,yes,85,10,2023/01/29 05:00,2023/01/30 00:00,5700
35,58,8,9,yes,12,21,2023/01/21 03:30,2023/01/22 00:30,21000
36,3,2,2,no,25,39,2023/01/08 05:30,2023/01/08 21:30,6400
37,35,4,5,yes,3,44,2023/01/13 15:30,2023/01/13 21:30,3600
38,64,1,1,no,9,43,2023/01/07 16:30,2023/01/07 20:30,1200
39,15,7,8,yes,86,74,2023/01/01 18:00,2023/01/02 05:00,9900
40,44,6,7,yes,10,7,2023/01/06 00:00,2023/01/06 08:00,6400
41,80,4,4,no,9,31,2023/01/07 18:30,2023/01/09 18:30,28800
42,14,6,7,yes,78,86,2023/01/12 03:00,2023/01/12 10:00,5600
43,7,9,9,no,29,41,2023/01/31 20:30,2023/02/01 15:30,20900
44,16,3,4,yes,99,36,2023/01/26 15:30,2023/01/27 20:30,14500
45,1,7,8,yes,5,69,2023/01/08 08:30,2023/01/10 01:30,36900
46,74,7,8,yes,47,8,2023/01/31 09:00,2023/02/02 03:00,37800
47,46,10,10,no,95,15,2023/01/18 23:30,2023/01/19 12:30,15600
48,4,10,10,no,10,62,2023/01/22 07:00,2023/01/22 11:00,4800
49,77,5,6,yes,37,83,2023/01/14 15:00,2023/01/14 19:00,2800
50,68,5,5,no,64,43,2023/01/13 19:30,2023/01/14 19:30,16800
51,81,9,10,yes,50,77,2023/01/09 21:00,2023/01/10 09:00,13200
52,97,3,4,yes,44,87,2023/01/29 17:00,2023/01/31 17:00,24000
53,42,5,5,no,60,2,2023/01/21 22:00,2023/01/22 20:00,15400
54,15,8,8,no,49,87,2023/01/20 17:00,2023/01/21 23:00,30000
55,79,2,3,yes,66,32,2023/01/28 23:30,2023/01/30 08:30,13200
56,1,7,8,yes,78,76,2023/01/06 11:00,2023/01/07 10:00,20700
57,74,8,8,no,39,59,2023/01/21 15:00,2023/01/22 17:00,26000
58,53,3,3,no,64,33,2023/01/01 20:30,2023/01/02 05:30,4500
59,68,4,5,yes,26,96,2023/01/12 16:30,2023/01/13 13:30,12600
60,87,3,4,yes,60,28,2023/01/10 00:00,2023/01/10 09:00,4500
61,64,1,1,no,4,96,2023/01/04 12:30,2023/01/05 18:30,9000
62,1,8,8,no,15,99,2023/01/29 19:00,2023/01/30 16:00,21000
63,90,1,1,no,57,45,2023/01/03 07:00,2023/01/05 06:00,14100
64,1,7,8,yes,32,17,2023/01/04 04:00,2023/01/05 22:00,37800
65,4,10,10,no,91,51,2023/01/17 13:30,2023/01/19 01:30,43200
66,60,4,4,no,94,34,2023/02/01 18:00,2023/02/03 03:00,19800
67,59,1,2,yes,95,39,2023/01/18 19:30,2023/01/20 03:30,9600
68,97,3,4,yes,89,43,2023/01/13 21:00,2023/01/14 08:00,5500
69,59,2,2,no,60,55,2023/01/25 21:00,2023/01/27 14:00,16400
70,14,6,7,yes,12,3,2023/02/01 01:00,2023/02/01 06:00,4000
71,14,7,7,no,23,93,2023/01/19 17:30,2023/01/20 07:30,12600
72,7,9,9,no,31,75,2023/01/24 13:00,2023/01/24 18:00,5500
73,57,5,6,yes,71,32,2023/01/02 10:00,2023/01/04 02:00,28000
74,11,1,2,yes,79,74,2023/01/11 20:00,2023/01/13 00:00,8400
75,2,10,10,no,12,50,2023/01/23 17:00,2023/01/25 03:00,40800
76,51,10,10,no,62,31,2023/01/10 13:30,2023/01/11 02:30,15600
77,2,9,10,yes,30,68,2023/01/15 23:00,2023/01/17 12:00,40700
78,7,8,9,yes,56,49,2023/01/08 13:30,2023/01/08 21:30,8000
79,70,3,4,yes,6,25,2023/01/21 07:30,2023/01/22 07:30,12000
80,14,6,7,yes,5,39,2023/01/30 09:30,2023/01/31 15:30,24000
81,29,1,1,no,56,88,2023/01/10 12:30,2023/01/11 03:30,4500
82,51,9,10,yes,49,56,2023/01/08 08:30,2023/01/08 15:30,7700
83,18,6,6,no,2,58,2023/01/13 14:30,2023/01/15 05:30,31200
84,1,7,8,yes,8,62,2023/02/02 00:00,2023/02/03 01:00,22500
85,31,10,10,no,46,30,2023/01/01 18:30,2023/01/03 01:30,37200
86,30,2,2,no,31,38,2023/01/13 10:00,2023/01/13 20:00,4000
87,78,2,3,yes,42,58,2023/01/27 18:30,2023/01/28 07:30,5200
88,54,7,8,yes,21,71,2023/01/05 13:00,2023/01/06 06:00,15300
89,1,8,8,no,56,97,2023/01/27 21:00,2023/01/28 17:00,20000
90,18,6,6,no,65,36,2023/01/07 13:30,2023/01/08 22:30,26400
91,73,5,6,yes,23,35,2023/01/29 16:00,2023/01/30 06:00,9800
92,34,9,9,no,82,52,2023/01/28 12:00,2023/01/29 11:00,25300
93,31,10,10,no,11,41,2023/02/01 01:00,2023/02/01 07:00,7200
94,2,10,10,no,8,70,2023/01/11 01:30,2023/01/12 09:30,38400
95,14,7,7,no,53,29,2023/01/06 22:00,2023/01/08 13:00,35100
