scenario,algorithm,instances,gap_mean,gap_std,gap_min,gap_max,gap_mean_pct,gap_std_pct,profit_mean,execution_time_mean
S6,algo_naive,128,0.06901701,0.13717281,0.0,0.48937241,6.901701,13.717281,1307149.71875,0.069101
S6,algo_union,128,0.0,0.0,0.0,0.0,0.0,0.0,1601064.523438,3.951304
S8,algo_naive,128,0.06243284,0.12089705,0.0,0.45404689,6.243284,12.089705,1385165.578125,0.078379
S8,algo_union,128,0.00059931,0.00212884,0.0,0.0187474,0.059931,0.212884,1672490.0625,4.953859
S10,algo_naive,128,0.08447717,0.03640297,0.02091107,0.22343958,8.447717,3.640297,1254189.789062,0.079071
S10,algo_union,128,0.00686585,0.00649619,0.0,0.02846762,0.686585,0.649619,1677173.078125,11.34602
S13,algo_naive,128,0.38125287,0.08477482,0.15475003,0.58942411,38.125287,8.477482,-1910484.96875,0.071392
S13,algo_union,128,0.01293217,0.0200243,0.0,0.12212786,1.293217,2.00243,-799450.648438,11.312666
S14,algo_naive,128,0.06207935,0.12651299,0.0,0.50962289,6.207935,12.651299,1397787.476562,0.055017
S14,algo_union,128,0.0012878,0.00424356,0.0,0.03330337,0.12878,0.424356,1681547.375,3.858807
