n_S,n_C,n_L,n_K,n_D,B
30,200,5,800,30,80000
==========
Car ID,Level,Initial station
1,1,30
2,1,12
3,1,27
4,1,17
5,1,18
6,1,16
7,1,30
8,1,18
9,1,16
10,1,27
11,1,20
12,1,3
13,1,18
14,1,5
15,1,29
16,1,11
17,1,3
18,1,2
19,1,26
20,1,26
21,1,26
22,1,3
23,1,12
24,1,13
25,1,3
26,1,8
27,1,6
28,1,24
29,1,19
30,1,3
31,1,4
32,1,13
33,1,16
34,1,20
35,1,1
36,1,19
37,1,24
38,1,18
39,1,4
40,1,18
41,2,20
42,2,19
43,2,28
44,2,29
45,2,1
46,2,12
47,2,14
48,2,14
49,2,22
50,2,24
51,2,13
52,2,12
53,2,25
54,2,4
55,2,19
56,2,6
57,2,30
58,2,14
59,2,29
60,2,18
61,2,5
62,2,5
63,2,20
64,2,15
65,2,27
66,2,17
67,2,4
68,2,5
69,2,25
70,2,27
71,2,5
72,2,9
73,2,30
74,2,18
75,2,13
76,2,7
77,2,30
78,2,17
79,2,3
80,2,18
81,3,6
82,3,9
83,3,21
84,3,20
85,3,28
86,3,15
87,3,7
88,3,12
89,3,15
90,3,13
91,3,25
92,3,8
93,3,21
94,3,4
95,3,26
96,3,2
97,3,1
98,3,30
99,3,19
100,3,22
101,3,21
102,3,29
103,3,16
104,3,27
105,3,25
106,3,19
107,3,12
108,3,23
109,3,26
110,3,12
111,3,5
112,3,9
113,3,25
114,3,5
115,3,29
116,3,28
117,3,10
118,3,19
119,3,18
120,3,23
121,4,18
122,4,4
123,4,23
124,4,14
125,4,25
126,4,17
127,4,23
128,4,30
129,4,2
130,4,7
131,4,4
132,4,18
133,4,29
134,4,2
135,4,4
136,4,4
137,4,27
138,4,27
139,4,24
140,4,26
141,4,8
142,4,3
143,4,23
144,4,10
145,4,26
146,4,19
147,4,22
148,4,12
149,4,1
150,4,23
151,4,23
152,4,19
153,4,6
154,4,27
155,4,14
156,4,8
157,4,17
158,4,11
159,4,10
160,4,9
161,5,18
162,5,3
163,5,15
164,5,15
165,5,2
166,5,16
167,5,14
168,5,30
169,5,1
170,5,8
171,5,28
172,5,11
173,5,5
174,5,16
175,5,10
176,5,13
177,5,22
178,5,6
179,5,26
180,5,1
181,5,18
182,5,18
183,5,2
184,5,14
185,5,7
186,5,22
187,5,25
188,5,12
189,5,13
190,5,22
191,5,30
192,5,13
193,5,16
194,5,5
195,5,12
196,5,22
197,5,30
198,5,23
199,5,8
200,5,13
==========
Car level,Hour rate
1,100
2,200
3,400
4,800
5,1600
==========
Order ID,Level,Pick-up station,Return station,Pick-up time,Return time
1,5,7,20,2023/01/18 02:30,2023/01/21 22:30
2,3,16,28,2023/01/01 13:30,2023/01/04 14:30
3,5,16,28,2023/01/06 18:30,2023/01/10 12:30
4,3,11,2,2023/01/10 15:00,2023/01/11 15:00
5,3,16,1,2023/01/17 17:00,2023/01/20 08:00
6,2,27,15,2023/01/09 22:30,2023/01/10 01:30
7,5,24,23,2023/01/24 06:30,2023/01/24 08:30
8,1,5,28,2023/01/24 09:30,2023/01/25 15:30
9,1,7,26,2023/01/28 00:00,2023/01/28 11:00
10,2,16,18,2023/01/01 11:30,2023/01/04 21:30
11,1,5,23,2023/01/01 02:30,2023/01/04 01:30
12,1,1,26,2023/01/28 12:30,2023/01/29 04:30
13,5,13,10,2023/01/18 18:00,2023/01/22 15:00
14,1,1,7,2023/01/18 16:30,2023/01/20 04:30
15,2,7,29,2023/01/12 16:30,2023/01/12 21:30
16,3,1,14,2023/01/07 18:30,2023/01/08 00:30
17,4,5,27,2023/01/28 21:00,2023/01/30 17:00
18,5,5,3,2023/01/01 22:00,2023/01/02 16:00
19,3,7,6,2023/01/04 02:30,2023/01/04 11:30
20,1,3,15,2023/01/21 12:00,2023/01/25 12:00
21,3,5,26,2023/01/08 20:00,2023/01/09 01:00
22,5,1,30,2023/01/06 01:00,2023/01/08 14:00
23,3,26,24,2023/01/12 20:00,2023/01/14 10:00
24,4,4,29,2023/01/14 07:00,2023/01/14 10:00
25,2,14,6,2023/01/19 22:30,2023/01/23 14:30
26,2,2,30,2023/01/19 06:30,2023/01/21 07:30
27,5,1,19,2023/01/11 18:30,2023/01/12 19:30
28,2,27,30,2023/01/20 16:00,2023/01/23 05:00
29,3,3,5,2023/01/29 20:30,2023/01/30 02:30
30,4,22,1,2023/01/28 17:00,2023/01/29 03:00
