n_S,n_C,n_L,n_K,n_D,B
100,1000,10,10000,100,1000000
==========
Car ID,Level,Initial station
1,1,32
2,1,83
3,1,56
4,1,45
5,1,94
6,1,40
7,1,100
8,1,81
9,1,6
10,1,5
11,1,24
12,1,87
13,1,1
14,1,36
15,1,54
16,1,28
17,1,51
18,1,19
19,1,72
20,1,33
21,1,11
22,1,100
23,1,39
24,1,28
25,1,89
26,1,16
27,1,72
28,1,93
29,1,92
30,1,84
31,1,76
32,1,38
33,1,34
34,1,98
35,1,39
36,1,22
37,1,3
38,1,55
39,1,73
40,1,2
41,1,18
42,1,1
43,1,80
44,1,20
45,1,34
46,1,6
47,1,76
48,1,51
49,1,8
50,1,71
51,1,23
52,1,13
53,1,75
54,1,51
55,1,32
56,1,78
57,1,6
58,1,94
59,1,47
60,1,53
61,1,46
62,1,16
63,1,26
64,1,4
65,1,54
66,1,80
67,1,71
68,1,22
69,1,63
70,1,15
71,1,56
72,1,95
73,1,85
74,1,89
75,1,99
76,1,5
77,1,83
78,1,20
79,1,62
80,1,36
81,1,15
82,1,41
83,1,36
84,1,52
85,1,6
86,1,15
87,1,18
88,1,74
89,1,80
90,1,94
91,1,79
92,1,89
93,1,26
94,1,53
95,1,93
96,1,2
97,1,52
98,1,64
99,1,35
100,1,3
101,2,41
102,2,51
103,2,79
104,2,22
105,2,52
106,2,10
107,2,50
108,2,7
109,2,88
110,2,33
111,2,57
112,2,47
113,2,71
114,2,56
115,2,28
116,2,25
117,2,88
118,2,68
119,2,77
120,2,22
121,2,23
122,2,78
123,2,28
124,2,14
125,2,64
126,2,51
127,2,44
128,2,58
129,2,87
130,2,29
131,2,49
132,2,92
133,2,50
134,2,97
135,2,25
136,2,40
137,2,47
138,2,79
139,2,12
140,2,83
141,2,74
142,2,28
143,2,49
144,2,44
145,2,62
146,2,58
147,2,5
148,2,29
149,2,59
150,2,89
151,2,13
152,2,48
153,2,77
154,2,61
155,2,69
156,2,88
157,2,81
158,2,20
159,2,7
160,2,71
161,2,44
162,2,66
163,2,29
164,2,27
165,2,97
166,2,60
167,2,42
168,2,31
169,2,2
170,2,26
171,2,53
172,2,30
173,2,11
174,2,23
175,2,46
176,2,7
177,2,88
178,2,2
179,2,84
180,2,63
181,2,36
182,2,15
183,2,10
184,2,24
