n_S,n_C,n_L,n_K,n_D,B
30,200,5,800,30,80000
==========
Car ID,Level,Initial station
1,1,30
2,1,18
3,1,23
4,1,16
5,1,15
6,1,2
7,1,30
8,1,26
9,1,1
10,1,2
11,1,11
12,1,5
13,1,23
14,1,4
15,1,29
16,1,26
17,1,28
18,1,12
19,1,14
20,1,10
21,1,19
22,1,29
23,1,4
24,1,22
25,1,30
26,1,2
27,1,26
28,1,17
29,1,1
30,1,27
31,1,13
32,1,2
33,1,17
34,1,8
35,1,13
36,1,2
37,1,27
38,1,4
39,1,20
40,1,9
41,2,12
42,2,15
43,2,14
44,2,29
45,2,10
46,2,7
47,2,16
48,2,26
49,2,2
50,2,22
51,2,20
52,2,14
53,2,19
54,2,4
55,2,12
56,2,14
57,2,18
58,2,28
59,2,24
60,2,23
61,2,25
62,2,11
63,2,30
64,2,22
65,2,6
66,2,26
67,2,10
68,2,14
69,2,28
70,2,5
71,2,23
72,2,12
73,2,9
74,2,16
75,2,9
76,2,12
77,2,1
78,2,12
79,2,17
80,2,22
81,3,22
82,3,11
83,3,30
84,3,24
85,3,14
86,3,29
87,3,22
88,3,16
89,3,22
90,3,4
91,3,6
92,3,24
93,3,19
94,3,18
95,3,25
96,3,13
97,3,3
98,3,24
99,3,24
100,3,9
101,3,1
102,3,6
103,3,2
104,3,15
105,3,5
106,3,10
107,3,26
108,3,19
109,3,27
110,3,27
111,3,16
112,3,9
113,3,18
114,3,3
115,3,12
116,3,28
117,3,2
118,3,26
119,3,10
120,3,2
121,4,25
122,4,3
123,4,22
124,4,30
125,4,27
126,4,30
127,4,14
128,4,4
129,4,26
130,4,4
131,4,6
132,4,26
133,4,16
134,4,4
135,4,9
136,4,15
137,4,4
138,4,27
139,4,5
140,4,25
141,4,26
142,4,23
143,4,27
144,4,20
145,4,21
146,4,23
147,4,11
148,4,17
149,4,26
150,4,14
151,4,12
152,4,18
153,4,6
154,4,10
155,4,26
156,4,12
157,4,19
158,4,13
159,4,18
160,4,18
161,5,25
162,5,5
163,5,25
164,5,13
165,5,21
166,5,2
167,5,25
168,5,14
169,5,15
170,5,11
171,5,3
172,5,25
173,5,3
174,5,21
175,5,10
176,5,3
177,5,6
178,5,17
179,5,3
180,5,21
181,5,22
182,5,22
183,5,28
184,5,19
185,5,27
186,5,26
187,5,11
188,5,17
189,5,27
190,5,24
191,5,23
192,5,7
193,5,23
194,5,21
195,5,6
196,5,15
197,5,11
198,5,13
199,5,7
200,5,1
==========
Car level,Hour rate
1,100
2,200
3,400
4,800
5,1600
==========
Order ID,Level,Pick-up station,Return station,Pick-up time,Return time
1,1,1,13,2023/01/09 08:30,2023/01/10 17:30
2,3,27,29,2023/01/24 07:30,2023/01/28 07:30
3,2,11,27,2023/01/07 12:00,2023/01/09 05:00
4,2,1,21,2023/01/23 12:00,2023/01/24 19:00
5,4,2,9,2023/01/21 11:30,2023/01/22 01:30
6,1,6,28,2023/01/13 18:30,2023/01/17 11:30
7,5,5,23,2023/01/24 05:00,2023/01/25 21:00
8,4,18,29,2023/01/17 12:30,2023/01/19 04:30
9,3,22,25,2023/01/20 05:30,2023/01/22 19:30
10,5,10,24,2023/01/18 06:30,2023/01/20 15:30
11,5,6,24,2023/01/05 00:30,2023/01/06 05:30
12,3,22,23,2023/01/01 19:30,2023/01/03 22:30
13,5,1,23,2023/01/18 16:00,2023/01/21 19:00
14,1,7,4,2023/01/08 09:00,2023/01/10 23:00
15,1,22,23,2023/01/13 17:00,2023/01/15 07:00
16,2,16,28,2023/01/25 08:30,2023/01/25 14:30
17,3,26,23,2023/01/15 08:00,2023/01/16 23:00
18,5,19,18,2023/01/29 20:00,2023/01/30 20:00
19,3,5,27,2023/01/27 05:30,2023/01/27 23:30
20,5,6,24,2023/01/29 12:30,2023/01/30 18:30
21,2,4,29,2023/01/17 11:30,2023/01/21 03:30
22,3,14,24,2023/01/01 08:00,2023/01/02 13:00
23,1,5,12,2023/01/10 04:00,2023/01/12 14:00
24,2,3,27,2023/01/17 09:00,2023/01/17 23:00
25,4,30,12,2023/01/07 21:00,2023/01/10 06:00
26,4,15,19,2023/01/23 17:00,2023/01/25 14:00
27,3,12,5,2023/01/23 17:30,2023/01/26 02:30
28,5,6,23,2023/01/22 07:00,2023/01/23 12:00
29,4,5,11,2023/01/06 07:30,2023/01/08 07:30
30,1,21,29,2023/01/07 02:30,2023/01/10 15:30
31,4,4,28,2023/01/06 14:30,2023/01/10 05:30
32,2,6,12,2023/01/23 19:00,2023/01/24 04:00
33,5,21,19,2023/01/26 02:00,2023/01/28 07:00
34,1,3,3,2023/01/23 03:30,2023/01/26 02:30
35,1,11,30,2023/01/18 17:00,2023/01/21 23:00
36,2,2,23,2023/01/07 22:00,2023/01/08 00:00
37,4,4,22,2023/01/05 21:00,2023/01/08 02:00
38,5,16,14,2023/01/16 14:30,2023/01/20 11:30
39,5,9,1,2023/01/22 16:30,2023/01/24 14:30
40,1,20,29,2023/01/26 02:00,2023/01/26 20:00
41,2,3,26,2023/01/14 00:00,2023/01/16 00:00
42,2,7,28,2023/01/11 06:30,2023/01/14 02:30
43,5,4,29,2023/01/25 02:30,2023/01/26 19:30
44,2,3,24,2023/01/10 14:00,2023/01/14 11:00
45,2,3,23,2023/01/17 19:00,2023/01/20 05:00
46,1,7,12,2023/01/26 20:00,2023/01/29 03:00
47,2,2,29,2023/01/19 13:30,2023/01/23 07:30
48,2,7,23,2023/01/26 01:00,2023/01/27 06:00
49,5,5,30,2023/01/25 18:30,2023/01/27 03:30
50,3,9,28,2023/01/10 05:30,2023/01/11 06:30
51,3,7,2,2023/01/06 20:30,2023/01/09 22:30
52,4,4,29,2023/01/06 07:00,2023/01/08 14:00
53,1,2,19,2023/01/13 18:30,2023/01/16 20:30
54,4,24,24,2023/01/07 23:00,2023/01/10 13:00
55,4,24,2,2023/01/12 10:00,2023/01/16 04:00
56,3,5,27,2023/01/14 18:30,2023/01/16 07:30
57,1,16,28,2023/01/29 09:00,2023/01/30 08:00
58,5,5,26,2023/01/28 03:00,2023/01/29 19:00
59,2,21,29,2023/01/28 16:00,2023/01/29 12:00
60,5,3,14,2023/01/17 19:00,2023/01/19 04:00
61,5,30,20,2023/01/14 09:00,2023/01/15 12:00
62,4,17,26,2023/01/17 06:00,2023/01/17 07:00
63,1,21,27,2023/01/15 06:00,2023/01/15 08:00
64,4,1,5,2023/01/10 05:30,2023/01/11 14:30
65,1,25,11,2023/01/08 10:30,2023/01/11 20:30
66,4,21,16,2023/01/21 19:30,2023/01/22 08:30
