n_S,n_C,n_L,n_K,n_D,B
100,1000,10,10000,100,1000000
==========
Car ID,Level,Initial station
1,1,51
2,1,71
3,1,13
4,1,52
5,1,23
6,1,100
7,1,50
8,1,39
9,1,75
10,1,38
11,1,46
12,1,74
13,1,27
14,1,95
15,1,67
16,1,22
17,1,81
18,1,21
19,1,80
20,1,87
21,1,99
22,1,29
23,1,53
24,1,47
25,1,48
26,1,23
27,1,68
28,1,80
29,1,98
30,1,63
31,1,32
32,1,9
33,1,69
34,1,49
35,1,9
36,1,93
37,1,65
38,1,63
39,1,25
40,1,27
41,1,9
42,1,63
43,1,30
44,1,97
45,1,32
46,1,64
47,1,4
48,1,37
49,1,29
50,1,2
51,1,13
52,1,20
53,1,34
54,1,23
55,1,24
56,1,42
57,1,4
58,1,90
59,1,28
60,1,98
61,1,88
62,1,84
63,1,61
64,1,27
65,1,2
66,1,20
67,1,14
68,1,64
69,1,38
70,1,44
71,1,89
72,1,65
73,1,74
74,1,74
75,1,87
76,1,3
77,1,6
78,1,58
79,1,6
80,1,55
81,1,58
82,1,59
83,1,91
84,1,58
85,1,74
86,1,57
87,1,13
88,1,78
89,1,20
90,1,53
91,1,92
92,1,6
93,1,33
94,1,12
95,1,70
96,1,10
97,1,37
98,1,68
99,1,24
100,1,3
101,2,4
102,2,8
103,2,61
104,2,19
105,2,51
106,2,83
107,2,13
108,2,81
109,2,99
110,2,90
111,2,10
112,2,100
113,2,98
114,2,16
115,2,44
116,2,39
117,2,37
118,2,57
119,2,89
120,2,63
121,2,67
122,2,36
123,2,82
124,2,36
125,2,6
126,2,79
127,2,3
128,2,31
129,2,60
130,2,22
131,2,52
132,2,37
133,2,84
134,2,80
135,2,23
136,2,60
137,2,20
138,2,66
139,2,76
140,2,81
141,2,33
142,2,27
143,2,18
144,2,81
145,2,34
146,2,73
147,2,44
148,2,18
149,2,59
150,2,84
151,2,90
152,2,81
153,2,8
154,2,86
155,2,74
156,2,51
157,2,34
158,2,21
159,2,18
160,2,38
161,2,36
162,2,83
163,2,70
164,2,88
165,2,57
166,2,75
167,2,61
168,2,90
169,2,17
170,2,17
171,2,25
172,2,62
173,2,95
174,2,80
175,2,44
176,2,92
177,2,33
178,2,63
179,2,7
180,2,78
181,2,31
182,2,72
183,2,93
184,2,82
185,2,7
186,2,33
187,2,11
188,2,15
189,2,15
190,2,63
191,2,2
192,2,78
193,2,14
194,2,93
195,2,16
196,2,9
197,2,14
198,2,99
199,2,74
200,2,31
201,3,19
202,3,82
203,3,67
204,3,84
205,3,70
206,3,8
207,3,56
208,3,74
209,3,11
210,3,85
211,3,65
212,3,21
213,3,61
214,3,26
215,3,42
216,3,70
217,3,59
218,3,57
219,3,48
220,3,11
221,3,55
222,3,43
223,3,15
224,3,58
225,3,4
226,3,10
227,3,57
228,3,19
229,3,59
230,3,43
231,3,89
232,3,89
233,3,12
234,3,1
235,3,40
236,3,47
237,3,6
238,3,27
239,3,85
240,3,69
241,3,9
242,3,81
243,3,88
244,3,71
245,3,6
246,3,38
247,3,96
248,3,52
249,3,94
250,3,53
251,3,76
252,3,92
253,3,1
254,3,56
255,3,64
256,3,30
257,3,51
258,3,7
259,3,73
260,3,84
261,3,99
262,3,43
263,3,22
264,3,61
265,3,12
266,3,88
267,3,13
268,3,63
269,3,53
270,3,13
271,3,62
272,3,12
273,3,76
274,3,24
275,3,85
276,3,100
277,3,54
278,3,26
279,3,23
280,3,47
281,3,44
282,3,28
283,3,8
284,3,24
285,3,7
286,3,87
287,3,99
288,3,28
289,3,48
290,3,50
291,3,47
292,3,66
293,3,62
294,3,57
295,3,9
296,3,69
297,3,42
298,3,5
299,3,49
300,3,6
301,4,7
302,4,45
303,4,35
304,4,50
305,4,50
306,4,44
307,4,95
308,4,7
309,4,36
310,4,91
311,4,100
312,4,73
313,4,53
314,4,65
315,4,10
316,4,66
317,4,95
318,4,91
319,4,2
320,4,9
321,4,53
322,4,94
323,4,12
324,4,97
325,4,53
326,4,5
327,4,14
328,4,49
329,4,99
330,4,89
331,4,70
332,4,47
333,4,9
334,4,49
335,4,47
336,4,85
337,4,89
338,4,2
339,4,73
340,4,53
341,4,85
342,4,8
343,4,12
344,4,3
345,4,55
346,4,26
347,4,47
348,4,71
349,4,19
350,4,57
351,4,48
352,4,79
353,4,77
354,4,27
355,4,67
356,4,82
357,4,96
358,4,57
359,4,41
360,4,67
361,4,42
362,4,5
363,4,64
364,4,43
365,4,87
366,4,31
367,4,7
368,4,22
369,4,66
370,4,84
371,4,59
372,4,40
373,4,16
374,4,46
375,4,100
376,4,19
377,4,71
378,4,85
379,4,2
380,4,90
381,4,55
382,4,47
383,4,64
384,4,31
385,4,40
386,4,60
387,4,56
388,4,17
389,4,92
390,4,56
391,4,82
392,4,60
393,4,24
394,4,59
395,4,10
396,4,71
397,4,69
398,4,24
399,4,90
400,4,55
401,5,74
402,5,61
403,5,85
404,5,65
405,5,25
406,5,41
407,5,83
408,5,36
409,5,75
410,5,53
411,5,22
412,5,70
413,5,89
414,5,88
415,5,58
416,5,93
417,5,28
418,5,23
419,5,25
420,5,72
421,5,80
422,5,58
423,5,27
424,5,97
425,5,37
426,5,77
427,5,78
428,5,61
429,5,70
430,5,70
431,5,52
432,5,14
433,5,95
434,5,29
435,5,52
436,5,41
437,5,80
438,5,26
439,5,88
440,5,26
441,5,26
442,5,100
443,5,7
444,5,65
445,5,41
446,5,4
447,5,23
448,5,63
449,5,15
450,5,31
451,5,31
452,5,90
453,5,43
454,5,92
455,5,9
456,5,80
457,5,18
458,5,87
459,5,11
460,5,61
461,5,16
462,5,14
463,5,7
464,5,83
465,5,58
466,5,13
467,5,39
468,5,97
469,5,35
470,5,3
471,5,17
472,5,43
473,5,88
474,5,12
475,5,28
476,5,95
477,5,14
478,5,2
479,5,43
480,5,69
481,5,83
482,5,58
483,5,48
484,5,30
485,5,39
486,5,5
487,5,5
488,5,24
489,5,15
490,5,22
491,5,35
492,5,53
493,5,12
494,5,39
495,5,43
496,5,33
497,5,42
498,5,10
499,5,17
500,5,37
501,6,56
502,6,31
503,6,55
504,6,14
505,6,60
506,6,11
507,6,72
508,6,32
509,6,57
510,6,52
511,6,21
512,6,75
513,6,60
514,6,1
515,6,34
516,6,41
517,6,71
518,6,84
519,6,53
520,6,36
521,6,91
522,6,38
523,6,86
524,6,1
525,6,87
526,6,92
527,6,43
528,6,40
529,6,56
530,6,61
531,6,62
532,6,13
533,6,48
534,6,86
535,6,27
536,6,42
537,6,70
538,6,15
539,6,3
540,6,59
541,6,68
542,6,59
543,6,42
544,6,62
545,6,24
546,6,39
547,6,53
548,6,43
549,6,58
550,6,44
551,6,33
552,6,51
553,6,98
554,6,94
555,6,2
556,6,89
557,6,91
558,6,77
559,6,100
560,6,55
561,6,13
562,6,100
563,6,80
564,6,28
565,6,78
566,6,23
567,6,62
568,6,25
569,6,20
570,6,98
571,6,80
572,6,16
573,6,100
574,6,82
575,6,95
576,6,70
577,6,77
578,6,60
579,6,57
580,6,83
581,6,4
582,6,45
583,6,55
584,6,61
585,6,5
586,6,3
587,6,14
588,6,4
589,6,60
590,6,87
591,6,78
592,6,77
593,6,53
594,6,26
595,6,95
596,6,93
597,6,99
598,6,65
599,6,26
600,6,74
601,7,62
602,7,92
603,7,99
604,7,44
605,7,93
606,7,39
607,7,56
608,7,47
609,7,28
610,7,51
611,7,21
612,7,35
613,7,15
614,7,92
615,7,80
616,7,48
617,7,12
618,7,29
619,7,43
620,7,68
621,7,49
622,7,6
623,7,48
624,7,41
625,7,33
626,7,59
627,7,48
628,7,88
629,7,9
630,7,86
631,7,57
632,7,74
633,7,51
634,7,52
635,7,16
636,7,44
637,7,69
638,7,18
639,7,7
640,7,61
641,7,39
642,7,15
643,7,66
644,7,52
645,7,84
646,7,51
647,7,29
648,7,29
649,7,83
650,7,65
651,7,9
652,7,53
653,7,50
654,7,11
655,7,50
656,7,12
657,7,97
658,7,38
659,7,67
660,7,91
661,7,43
662,7,7
663,7,93
664,7,52
665,7,60
666,7,29
667,7,89
668,7,35
669,7,54
670,7,72
671,7,15
672,7,16
673,7,52
674,7,64
675,7,63
676,7,3
677,7,25
678,7,1
679,7,80
680,7,87
681,7,15
682,7,4
683,7,48
684,7,76
685,7,19
686,7,65
687,7,63
688,7,13
689,7,48
690,7,98
691,7,16
692,7,4
693,7,5
694,7,99
695,7,27
696,7,70
697,7,66
698,7,83
699,7,44
700,7,42
701,8,80
702,8,44
703,8,9
704,8,100
705,8,77
706,8,43
707,8,29
708,8,96
709,8,90
710,8,72
711,8,84
712,8,33
713,8,57
714,8,100
715,8,47
716,8,74
717,8,28
718,8,92
719,8,17
720,8,78
721,8,13
722,8,11
723,8,71
724,8,39
725,8,43
726,8,52
727,8,48
728,8,82
729,8,24
730,8,29
731,8,18
732,8,43
733,8,72
734,8,86
735,8,48
736,8,76
737,8,93
738,8,41
739,8,76
740,8,16
741,8,10
742,8,42
743,8,86
744,8,20
745,8,49
746,8,98
747,8,63
748,8,60
749,8,99
750,8,50
751,8,72
752,8,97
753,8,79
754,8,12
755,8,29
756,8,51
757,8,44
758,8,19
759,8,90
760,8,33
761,8,43
762,8,2
763,8,22
764,8,19
765,8,30
766,8,43
767,8,61
768,8,70
769,8,21
770,8,80
771,8,39
772,8,6
773,8,41
774,8,95
775,8,41
776,8,21
777,8,65
778,8,77
779,8,64
780,8,57
781,8,93
782,8,29
783,8,53
784,8,83
785,8,15
786,8,65
787,8,50
788,8,64
789,8,58
790,8,58
791,8,31
792,8,70
793,8,33
794,8,14
795,8,52
796,8,20
797,8,73
798,8,81
799,8,44
800,8,88
801,9,59
802,9,41
803,9,26
804,9,37
805,9,93
806,9,95
807,9,29
808,9,96
809,9,47
810,9,30
811,9,20
812,9,35
813,9,85
814,9,24
815,9,5
816,9,53
817,9,81
818,9,17
819,9,75
820,9,18
821,9,72
822,9,24
823,9,24
824,9,44
825,9,8
826,9,95
827,9,19
828,9,42
829,9,44
830,9,46
831,9,10
832,9,86
833,9,42
834,9,51
835,9,73
