n_S,n_C,n_L,n_K,n_D,B
30,200,5,800,30,80000
==========
Car ID,Level,Initial station
1,1,27
2,1,29
3,1,7
4,1,12
5,1,28
6,1,10
7,1,7
8,1,1
9,1,27
10,1,9
11,1,16
12,1,2
13,1,20
14,1,30
15,1,30
16,1,25
17,1,4
18,1,25
19,1,25
20,1,10
21,1,7
22,1,29
23,1,3
24,1,20
25,1,26
26,1,4
27,1,4
28,1,14
29,1,7
30,1,25
31,1,16
32,1,20
33,1,1
34,1,22
35,1,26
36,1,13
37,1,8
38,1,16
39,1,4
40,1,4
41,2,21
42,2,5
43,2,9
44,2,30
45,2,23
46,2,18
47,2,14
48,2,30
49,2,10
50,2,6
51,2,15
52,2,11
53,2,23
54,2,15
55,2,2
56,2,17
57,2,16
58,2,15
59,2,8
60,2,24
61,2,30
62,2,25
63,2,24
64,2,20
65,2,20
66,2,30
67,2,9
68,2,6
69,2,24
70,2,9
71,2,27
72,2,23
73,2,6
74,2,20
75,2,8
76,2,14
77,2,19
78,2,6
79,2,11
80,2,17
81,3,2
82,3,4
83,3,10
84,3,18
85,3,29
86,3,4
87,3,10
88,3,28
89,3,27
90,3,25
91,3,24
92,3,16
93,3,9
94,3,7
95,3,20
96,3,28
97,3,2
98,3,19
99,3,9
100,3,23
101,3,15
102,3,28
103,3,16
104,3,4
105,3,16
106,3,13
107,3,9
108,3,29
109,3,9
110,3,10
111,3,3
112,3,19
113,3,25
114,3,14
115,3,22
116,3,13
117,3,19
118,3,21
119,3,15
120,3,16
121,4,15
122,4,25
123,4,20
124,4,13
125,4,17
126,4,18
127,4,20
128,4,6
129,4,2
130,4,6
131,4,5
132,4,18
133,4,10
134,4,16
135,4,23
136,4,17
137,4,18
138,4,1
139,4,2
140,4,18
141,4,11
142,4,27
143,4,10
144,4,10
145,4,7
146,4,3
147,4,29
148,4,11
149,4,6
150,4,9
151,4,24
152,4,23
153,4,23
154,4,4
155,4,17
156,4,27
157,4,7
158,4,5
159,4,29
160,4,23
161,5,26
162,5,27
163,5,17
164,5,1
165,5,22
166,5,20
167,5,4
168,5,18
169,5,17
170,5,26
171,5,1
172,5,17
173,5,23
174,5,8
175,5,19
176,5,12
177,5,16
178,5,21
179,5,26
180,5,4
181,5,26
182,5,11
183,5,8
184,5,5
185,5,3
186,5,27
187,5,26
188,5,19
189,5,24
190,5,4
191,5,22
192,5,17
193,5,16
194,5,30
195,5,20
196,5,5
197,5,1
198,5,20
199,5,26
200,5,12
==========
