n_S,n_C,n_L,n_K,n_D,B
100,1000,10,10000,100,1000000
==========
Car ID,Level,Initial station
1,1,90
2,1,39
3,1,82
4,1,80
5,1,25
6,1,50
7,1,58
8,1,66
9,1,88
10,1,54
11,1,75
12,1,29
13,1,51
14,1,68
15,1,74
16,1,17
17,1,97
18,1,56
19,1,89
20,1,18
21,1,31
22,1,94
23,1,41
24,1,49
25,1,90
26,1,99
27,1,58
28,1,88
29,1,74
30,1,15
31,1,4
32,1,93
33,1,26
34,1,68
35,1,65
36,1,89
37,1,33
38,1,3
39,1,58
40,1,57
41,1,49
42,1,32
43,1,4
44,1,90
45,1,56
46,1,47
47,1,86
48,1,9
49,1,62
50,1,11
51,1,59
52,1,46
53,1,93
54,1,75
55,1,1
56,1,45
57,1,71
58,1,92
59,1,76
60,1,85
61,1,23
62,1,51
63,1,36
64,1,91
65,1,57
66,1,60
67,1,3
68,1,39
69,1,94
70,1,10
71,1,14
72,1,9
73,1,39
74,1,60
75,1,19
76,1,25
77,1,76
78,1,29
79,1,99
80,1,96
81,1,61
82,1,58
83,1,81
84,1,77
85,1,69
86,1,51
87,1,89
88,1,87
89,1,36
90,1,28
91,1,29
92,1,1
93,1,62
94,1,43
95,1,28
96,1,7
97,1,94
98,1,59
99,1,16
100,1,83
101,2,84
102,2,11
103,2,14
104,2,90
105,2,19
106,2,6
107,2,45
108,2,35
109,2,9
110,2,86
111,2,30
112,2,24
113,2,92
114,2,46
115,2,36
116,2,45
117,2,99
118,2,47
119,2,93
120,2,70
121,2,48
122,2,5
123,2,78
124,2,52
125,2,67
126,2,88
127,2,57
128,2,19
129,2,27
130,2,7
131,2,76
132,2,24
133,2,21
134,2,49
135,2,53
136,2,52
137,2,64
138,2,32
139,2,28
140,2,30
141,2,72
142,2,12
143,2,94
144,2,37
145,2,35
146,2,49
147,2,79
148,2,55
149,2,94
150,2,52
151,2,26
152,2,20
153,2,48
154,2,88
155,2,52
156,2,62
157,2,58
158,2,63
159,2,8
160,2,91
161,2,83
162,2,33
163,2,87
164,2,38
165,2,58
166,2,91
167,2,87
168,2,84
169,2,66
170,2,72
171,2,17
172,2,72
173,2,96
174,2,75
175,2,83
176,2,50
177,2,5
178,2,71
179,2,83
180,2,28
181,2,95
182,2,43
183,2,59
184,2,94
185,2,4
186,2,87
187,2,9
188,2,53
189,2,38
190,2,80
191,2,36
192,2,96
193,2,40
194,2,33
195,2,88
196,2,81
197,2,85
198,2,66
199,2,31
200,2,8
201,3,41
202,3,80
203,3,58
204,3,70
205,3,9
206,3,55
207,3,61
208,3,63
209,3,33
210,3,9
211,3,57
212,3,30
213,3,87
214,3,77
215,3,20
216,3,68
217,3,53
218,3,45
219,3,45
220,3,81
221,3,83
222,3,72
223,3,2
224,3,77
225,3,70
226,3,43
227,3,65
228,3,26
229,3,96
230,3,79
231,3,44
232,3,44
233,3,57
